"","text","score","polarity"
"167","    sirkuit mandalika  membawa korban  yg dikibulin ",0,"Netral"
"168","lengkap jadwal motogp  gp indonesia  sirkuit mandalika  seri  marc marquez absen ",0,"Netral"
"169"," setdah  muka  sirkuit mandalika",-1,"Negatif"
"170","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"171","       sirkuit  beda kont ",0,"Netral"
"172","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"173","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"174","   ya bang  selesai sirkuitnya bln juni thn   sirkuit mandali ",0,"Netral"
"175"," motogp indonesia   sirkuit mandalika polisi keliling kampung gelar vaksin   ",0,"Netral"
"176"," presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  indonesi",0,"Netral"
"177","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"178"," bentar  kadrun teriak bangga  jkw bikin sirkuit mandalika  tepi laut  pemandangan indah gu ",2,"Positif"
"179"," warga angkut bangunan  motor  mobil pick up ",0,"Netral"
"180","warga angkut bangunan  motor  mobil pick up ",0,"Netral"
"181","      sirkuit mandalika   sirkuitn ",0,"Netral"
"182"," presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  indonesi",0,"Netral"
"183"," presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  indonesi",0,"Netral"
"184"," presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  indonesi",0,"Netral"
"185"," presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  indonesi",0,"Netral"
"186"," presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  indonesi",0,"Netral"
"187","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"188","presiden joko widodo  mantan panglima tni marsekal purn hadi tjahjanto  memimpin persiapan motogp  i ",0,"Netral"
"189","      tetiba  sirkuit mandalika dgn ",0,"Netral"
"190"," sirkuit  bawngg mandalika  sentul",0,"Netral"
"191","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"192","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"193","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"194","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"195","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"196","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"197","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"198","      sirkuit mandalika   buangbuang anggaran",0,"Netral"
"199","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"200","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"201","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"202","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"203","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"204","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"205","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"206","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"207","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"208","fakta unik sirkuit mandalika  via ",2,"Positif"
"209","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"210","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"211","     moto gp langsung exited  indonesia sepang notabene ka ",0,"Netral"
"212","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"213","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"214","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"215","     coba deh  buang anggaran  formula e yg ",0,"Netral"
"216","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"217","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"218","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"219","  rampung  april   ",1,"Positif"
"220","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"221","   nonton balapan  sirkuit mandalika   yacht ",0,"Netral"
"222","  event inter kls formula  formulaesirkuit hrs standart interapa dgn  singkat bs ",0,"Netral"
"223","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"224","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"225","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"226","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"227","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"228","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"229","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"230","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"231","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"232","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"233","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"234","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"235","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"236","jelang motogp  indonesia  sirkuit mandalika fakta bensin motor motogp  gak  bbm  dijual  spb ",1,"Positif"
"237","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"238","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"239","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"240","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"241","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"242","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"243","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"244","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"245","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"246","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"247","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"248","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"249","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"250","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"251","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"252","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"253"," pertamina mandalika international street circuit   tuan rumah  ajang balap internasional gt world challenge a",0,"Netral"
"254","kementerian pekerjaan   perumahan rakyat pupr  melanjutkan penataan koridor jalan bypass bandara int ",-1,"Negatif"
"255"," menjura jenderal       ",0,"Netral"
"256","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"257","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"258","       sempit banget sih mikirnya  j ",-1,"Negatif"
"259","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"260","     ahli  bilang drpd nebang pohon paru kota  konsep ",1,"Positif"
"261","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"262","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"263"," ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   ",1,"Positif"
"264"," formula e resmi digelar  in sya allah  vent tahunan yg  nilai ekonomi  masyar ",3,"Positif"
"265","   klo   digelar pertengahan   pastinya sdh  progres sirku ",0,"Netral"
"266","tekad  diusung pebalap mario suryo aji  tampil  sirkuit mandilika ajang balap moto musim   ingi ",1,"Positif"
"267","   kek  mandalika ya nonton  bukit  pepohonan  sirkuit",-1,"Negatif"
"268","  nonton balapan  sirkuit mandalika   yacht ",0,"Netral"
"269","  meninggalkan tim    kuat   menemukan jalan    harap marc  ",1,"Positif"
"270"," populer otomotif kondisi repsol honda    sirkuit mandalika   tuan rumah gt world challenge asia ",1,"Positif"
"271","populer otomotif kondisi repsol honda    sirkuit mandalika   tuan rumah gt world challenge asia  ",1,"Positif"
"272"," menjura jenderal       ",0,"Netral"
"273"," menjura jenderal       ",0,"Netral"
"274","menjura jenderal       ",0,"Netral"
"275","  ngomongin  motogp nantikan kiprah diggia  gresini racing tim  kelas moto gp  sirkuit mandalika ",1,"Positif"
